domain	strict	balanced	reward_block	source
0-cafw4cuaifsvnlnjqzehy0dkssp-bidder-maxads-4.cab.gbc.criteo.com	1	1	0	Wei.G
0.r.msn.com	1	1	0	Wei.G
0127.adsame.com	1	1	0	Wei.G
0355394ad2.4lr.fun	1	1	0	Wei.G
066ad25a9f.dsxnpls.one	1	1	0	Wei.G
0af40ad917.nfxsh.fun	1	1	0	Wei.G
0gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
0latfee.ero-advertising.com	1	1	0	Wei.G
1-1ads.com	1	1	0	Wei.G
1-free-share-buttons.com	1	1	0	Wei.G
1.ad-locus.com	1	1	0	Wei.G
100234.advision-adnw.jp	1	1	0	Wei.G
100602.advision-adnw.jp	1	1	0	Wei.G
100651.advision-adnw.jp	1	1	0	Wei.G
100800.advision-adnw.jp	1	1	0	Wei.G
100webads.com	1	1	0	Wei.G
109xroads.b2bmktg.com	1	1	0	Wei.G
10gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
10stepswp.advancedtech.com	1	1	0	Wei.G
114study.adsame.com	1	1	0	Wei.G
11bet.mobi	1	1	0	Wei.G
11gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
11win.mobi	1	1	0	Wei.G
123.fluxads.com	1	1	0	Wei.G
12gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
13gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
14gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
15gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
16dd-advertise-1252317822.file.myqcloud.com	1	1	0	Wei.G
16dd-advertise-1252317822.image.myqcloud.com	1	1	0	Wei.G
16gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
17gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
18gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
19gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
1eusy6.boxoffice.adventuretix.com	1	1	0	Wei.G
1gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
1mp.mobi	1	1	0	Wei.G
1phads.com	1	1	0	Wei.G
2016.sina.cn	1	1	0	Wei.G
206ads.com	1	1	0	Wei.G
20gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
21gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
22gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
2341.a.dlads.cn	1	1	0	Wei.G
2345-sandko-42325.com	1	1	0	Wei.G
23986834.com	1	1	0	Wei.G
23gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
240.zaloapp.ads.zdn.vn	1	1	0	Wei.G
24gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
24h-ad.24hstatic.com	1	1	0	Wei.G
24h-ipad-ad.24hstatic.com	1	1	0	Wei.G
24x7adservice.com	1	1	0	Wei.G
25c8e.admaster.com.cn	1	1	0	Wei.G
25gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
26gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
27gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
28gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
29gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
2baners.ero-advertising.com	1	1	0	Wei.G
2ciy2-9kbup.ads.tremorhub.com	1	1	0	Wei.G
2ds.ero-advertising.com	1	1	0	Wei.G
2fbanners.ero-advertising.com	1	1	0	Wei.G
2fflatfee.ero-advertising.com	1	1	0	Wei.G
2fspeedclicks.ero-advertising.com	1	1	0	Wei.G
2gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
2yearatt15.sugar1818.net	1	1	0	Wei.G
3.iscrv.com	1	1	0	Wei.G
30ads.com	1	1	0	Wei.G
30gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
31gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
360.anatic.net	1	1	0	Wei.G
360.munion.mediav.com	1	1	0	Wei.G
360ads.com	1	1	0	Wei.G
360adshost.com	1	1	0	Wei.G
360dianjing.agrantsem.com	1	1	0	Wei.G
360fenxi.mediav.com	1	1	0	Wei.G
365-business.online	1	1	0	Wei.G
365adskarolsawicki.org	1	1	0	Wei.G
397c0.admaster.com.cn	1	1	0	Wei.G
3ad5iot.com	1	1	0	Wei.G
3ad71877eb.plus-d.eu	1	1	0	Wei.G
3dns-1.adobe.com	1	1	0	Wei.G
3dns-2.adobe.com	1	1	0	Wei.G
3dns-3.adobe.com	1	1	0	Wei.G
3dns-4.adobe.com	1	1	0	Wei.G
3dns.adobe.com	1	1	0	Wei.G
3ds.ero-advertising.com	1	1	0	Wei.G
3gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
3hads4i5hm.com	1	1	0	Wei.G
3m.mediav.com	1	1	0	Wei.G
3mads.com	1	1	0	Wei.G
4-72ad1.top	1	1	0	Wei.G
4-72ad10.top	1	1	0	Wei.G
4-72ad2.top	1	1	0	Wei.G
4-72ad3.top	1	1	0	Wei.G
4-72ad4.top	1	1	0	Wei.G
4-72ad5.top	1	1	0	Wei.G
4-72ad6.top	1	1	0	Wei.G
4-72ad8.top	1	1	0	Wei.G
4-72ad9.top	1	1	0	Wei.G
4-interads.com	1	1	0	Wei.G
4.adsco.re	1	1	0	Wei.G
4.afs.googleadservices.com	1	1	0	Wei.G
480.zaloapp.ads.zdn.vn	1	1	0	Wei.G
4anners.ero-advertising.com	1	1	0	Wei.G
4cywq-eqnre.ads.tremorhub.com	1	1	0	Wei.G
4f.dm-euco.com	1	1	0	Wei.G
4gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
5-internads-7.com	1	1	0	Wei.G
50websads.com	1	1	0	Wei.G
518e7aad77.displus.online	1	1	0	Wei.G
51ads.com	1	1	0	Wei.G
5490.spedads.primosearch.com	1	1	0	Wei.G
54ads.com	1	1	0	Wei.G
555win.mobi	1	1	0	Wei.G
5726.bapi.adsafeprotected.com	1	1	0	Wei.G
58749.admaster.com.cn	1	1	0	Wei.G
5ad.leadboltads.net	1	1	0	Wei.G
5advertise.com	1	1	0	Wei.G
5c01ad4cb7.com	1	1	0	Wei.G
5ew8d-b3mmu.ads.tremorhub.com	1	1	0	Wei.G
5gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
5nbh3-h9cpz.ads.tremorhub.com	1	1	0	Wei.G
6.adsco.re	1	1	0	Wei.G
6063.bapi.adsafeprotected.com	1	1	0	Wei.G
61-nmobads.com	1	1	0	Wei.G
631.dlads.cn	1	1	0	Wei.G
66926e18fb422e99217bead821bfa976.groupsorlink.com	1	1	0	Wei.G
69c4f21c8ed8f25ad092332d--sunny-youtiao-11fcd4.netlify.app	1	1	0	Wei.G
6ab77a3dad.com	1	1	0	Wei.G
6abafad197.vouch40.one	1	1	0	Wei.G
6gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
6psex-axuft.ads.tremorhub.com	1	1	0	Wei.G
